id;nome;artistas;album;release_date;duracao_ms;popularity;explicit;url;stem_path;BPM;Root_key;energia;acousticness;danceability;valence
1hwJKpe0BPUsq6UUrwBWTw;Boulevard of Broken Dreams;Green Day;Boulevard of Broken Dreams;2004.0;261.266;73;True;https://open.spotify.com/track/1hwJKpe0BPUsq6UUrwBWTw;guitar_stems/Green_Day_-_Boulevard_Of_Broken_Dreams_[Official_Music_Video]_[4K_Upgrade].wav;82.0;F minor;0.041175976395606995;0.639818427280219;0.5041273323125295;1.0578976482152938
0815caqt2Lytro5EIzMufT;You And Me;Lifehouse;Lifehouse;2005.0;195.493;75;False;https://open.spotify.com/track/0815caqt2Lytro5EIzMufT;guitar_stems/Lifehouse_-_You_And_Me_(Official_Music_Video).wav;94.0;E major;0.030643712729215622;0.6226097307281833;0.2056969720512644;1.0038726478815079
0XwjdpwvEwukcg3XU4Ibzt;Blaze Of Glory;Jon Bon Jovi;Cross Road;1994.0;340.0;58;False;https://open.spotify.com/track/0XwjdpwvEwukcg3XU4Ibzt;guitar_stems/Jon_Bon_Jovi_-_Blaze_Of_Glory_(Official_Music_Video).wav;77.0;D major;0.06224650517106056;0.6126412952395475;0.19026364902934767;1.0840983420610428
0RsOUnm1wNpbXxZ8a4abOP;Amaranth;Nightwish;Dark Passion Play;2007.0;231.444;62;False;https://open.spotify.com/track/0RsOUnm1wNpbXxZ8a4abOP;guitar_stems/NIGHTWISH_-_Amaranth_(OFFICIAL_MUSIC_VIDEO).wav;64.0;D minor;0.08523397892713547;0.6414815035618278;0.6987825940593455;1.3226263403892518
72hpTHMLFrO4ErhSQl2FhZ;Can't Stop Lovin' You;Van Halen;Balance;1995.0;247.466;61;False;https://open.spotify.com/track/72hpTHMLFrO4ErhSQl2FhZ;guitar_stems/Van_Halen_-_Can't_Stop_Lovin'_You_(Official_Music_Video)_[HD].wav;59.0;A major;0.11915051937103271;0.5889255677268211;0.4134949785680807;0.8783217340707778
3hb2ScEVkGchcAQqrPLP0R;Photograph;Nickelback;All the Right Reasons;2005.0;258.92;66;False;https://open.spotify.com/track/3hb2ScEVkGchcAQqrPLP0R;guitar_stems/Nickelback_-_Photograph_[OFFICIAL_VIDEO].wav;74.0;E major;0.02529742196202278;0.6541673525126224;0.13272267052246484;1.1770512878894805
087OBLtoeS3Q6j0k6tMNAI;Closing Time;Semisonic;Feeling Strangely Fine;1998.0;273.533;0;False;https://open.spotify.com/track/087OBLtoeS3Q6j0k6tMNAI;guitar_stems/Semisonic_-_Closing_Time_(Official_Music_Video).wav;92.0;A minor;0.08271343261003494;0.596043715717436;0.409665956508723;0.929656970500946
0UvCh63URrLFcPkKt99hHd;Don't Look Back in Anger - Remastered;Oasis;(What's The Story) Morning Glory? [Remastered];1995.0;289.56;72;False;https://open.spotify.com/track/0UvCh63URrLFcPkKt99hHd;;;;;;;
4Yf5bqU3NK4kNOypcrLYwU;Faint;Linkin Park;Meteora;2003.0;162.106;83;False;https://open.spotify.com/track/4Yf5bqU3NK4kNOypcrLYwU;guitar_stems/Faint_(Official_Music_Video)_[4K_UPGRADE]_–_Linkin_Park.wav;67.0;C# minor;0.062272947281599045;0.6662980348387875;0.3103545474540784;1.2094378799200058
3ZOEytgrvLwQaqXreDs2Jx;Can't Stop;Red Hot Chili Peppers;By the Way (Deluxe Edition);2002.0;269.0;85;False;https://open.spotify.com/track/3ZOEytgrvLwQaqXreDs2Jx;guitar_stems/Red_Hot_Chili_Peppers_-_Can't_Stop_[Official_Music_Video].wav;92.0;E minor;0.04430801793932915;0.579675194576313;0.9072521230347876;0.8156572759151458
663Karu2rvKLdnY0eo1n3M;Call Me When You're Sober;Evanescence;The Open Door;2006.0;214.706;70;False;https://open.spotify.com/track/663Karu2rvKLdnY0eo1n3M;guitar_stems/Evanescence_-_Call_Me_When_You're_Sober.wav;94.0;E minor;0.042147938162088394;0.6357168398848023;0.2596888104521586;1.185699114203453
3YuaBvuZqcwN3CEAyyoaei;Like a Stone;Audioslave;Audioslave;2002.0;293.96;82;False;https://open.spotify.com/track/3YuaBvuZqcwN3CEAyyoaei;guitar_stems/Audioslave_-_Like_a_Stone_(Official_Video).wav;80.0;G minor;0.04276426509022713;0.5964895844334825;0.4993716817955886;0.8431314826011658
2RChe0r2cMoyOvuKobZy44;Always;Bon Jovi;Cross Road;1994.0;353.026;76;False;https://open.spotify.com/track/2RChe0r2cMoyOvuKobZy44;;;;;;;
60a5c4dDARPsksClcom0OD;Amazing;Aerosmith;Get A Grip;1993.0;355.915;66;False;https://open.spotify.com/track/60a5c4dDARPsksClcom0OD;guitar_stems/Aerosmith_-_Amazing_(Official_Music_Video).wav;70.0;C major;0.07692571729421616;0.6034285041853874;0.30032608285225687;0.9132222443819046
42T2QQv3xgBlpQxaSP7lnK;One Last Breath;Creed;Weathered;2001.0;238.24;82;False;https://open.spotify.com/track/42T2QQv3xgBlpQxaSP7lnK;guitar_stems/Creed_-_One_Last_Breath_(Official_HD_Music_Video).wav;125.0;D major;0.05272954702377319;0.5814940586496467;0.3887518739852763;1.052866566181183
0gzqZ9d1jIKo9psEIthwXe;Beautiful Day;U2;All That You Can't Leave Behind;2000.0;248.4;74;False;https://open.spotify.com/track/0gzqZ9d1jIKo9psEIthwXe;;;;;;;
