URL,mime-type,nato-digital,numero-de-paginas,megabytes
data\outros\103098.pdf,application/pdf,True,9,0.14
data\outros\103099.pdf,application/pdf,True,2,0.03
data\outros\103100.pdf,application/pdf,True,2,0.05
data\outros\103101.pdf,application/pdf,True,5,0.09
data\outros\103102.pdf,application/pdf,True,3,0.04
data\outros\103103.pdf,application/pdf,True,3,0.04
data\outros\103104.pdf,application/pdf,True,3,0.03
data\outros\103105.pdf,application/pdf,True,3,0.07
data\outros\103106.pdf,application/pdf,True,3,0.06
data\outros\103107.pdf,application/pdf,True,2,0.03
data\outros\103108.pdf,application/pdf,True,3,0.08
data\outros\103109.pdf,application/pdf,True,2,0.04
data\outros\103110.pdf,application/pdf,True,11,0.17
data\outros\103111.pdf,application/pdf,True,5,0.16
data\outros\103112.pdf,application/pdf,True,1,0.02
data\outros\103113.pdf,application/pdf,True,3,0.05
data\outros\103114.pdf,application/pdf,True,4,0.05
data\outros\103115.pdf,application/pdf,True,2,0.03
data\outros\103116.pdf,application/pdf,True,2,0.04
data\outros\103117.pdf,application/pdf,True,8,0.13
data\outros\103118.pdf,application/pdf,True,4,0.05
data\outros\103119.pdf,application/pdf,True,2,0.04
data\outros\103120.pdf,application/pdf,True,3,0.06
data\outros\1033510.pdf,application/pdf,True,5,0.08
data\outros\1033511.pdf,application/pdf,True,7,0.19
data\outros\1033516.pdf,application/pdf,True,5,0.12
data\outros\1033517.pdf,application/pdf,True,4,0.09
data\outros\1033518.pdf,application/pdf,True,6,0.11
data\outros\1033519.pdf,application/pdf,True,5,0.1
data\outros\1033520.pdf,application/pdf,True,5,0.1
data\outros\1033521.pdf,application/pdf,True,3,0.08
data\outros\1033522.pdf,application/pdf,True,8,0.22
data\outros\1033523.pdf,application/pdf,True,8,0.16
data\outros\1033524.pdf,application/pdf,True,8,0.21
data\outros\1033525.pdf,application/pdf,True,6,0.12
data\outros\1033526.pdf,application/pdf,True,3,0.06
data\outros\1033527.pdf,application/pdf,True,3,0.06
data\outros\1033528.pdf,application/pdf,True,6,0.08
data\outros\1033529.pdf,application/pdf,True,7,0.18
data\outros\1033530.pdf,application/pdf,True,4,0.07
data\outros\1033531.pdf,application/pdf,True,2,0.03
data\outros\1033532.pdf,application/pdf,True,5,0.08
data\outros\1033533.pdf,application/pdf,True,5,0.1
data\outros\1033534.pdf,application/pdf,True,4,0.06
data\outros\1033535.pdf,application/pdf,True,5,0.08
data\outros\1033536.pdf,application/pdf,True,5,0.09
data\outros\1033537.pdf,application/pdf,True,4,0.06
data\outros\1033538.pdf,application/pdf,True,8,0.19
data\outros\1033539.pdf,application/pdf,True,4,0.08
data\outros\1033540.pdf,application/pdf,True,7,0.15
data\outros\1033541.pdf,application/pdf,True,10,0.22
data\outros\1033542.pdf,application/pdf,True,2,0.03
data\outros\1033543.pdf,application/pdf,True,7,0.12
data\outros\1033544.pdf,application/pdf,True,9,0.22
data\outros\1033545.pdf,application/pdf,True,6,0.12
data\outros\1033546.pdf,application/pdf,True,8,0.18
data\outros\1033547.pdf,application/pdf,True,5,0.1
data\outros\1033548.pdf,application/pdf,True,4,0.08
data\outros\1033549.pdf,application/pdf,True,4,0.08
data\outros\1033550.pdf,application/pdf,True,3,0.06
data\outros\1033551.pdf,application/pdf,True,3,0.05
data\outros\1033552.pdf,application/pdf,True,5,0.1
data\outros\1033553.pdf,application/pdf,True,8,0.18
data\outros\1033554.pdf,application/pdf,True,6,0.12
data\outros\1033555.pdf,application/pdf,True,7,0.15
data\outros\1033556.pdf,application/pdf,True,6,0.14
data\outros\1033557.pdf,application/pdf,True,4,0.07
data\outros\1033558.pdf,application/pdf,True,3,0.07
data\outros\1033559.pdf,application/pdf,True,8,0.17
data\outros\1033560.pdf,application/pdf,True,6,0.1
data\outros\1033561.pdf,application/pdf,True,9,0.19
data\outros\1033562.pdf,application/pdf,True,6,0.11
data\outros\1033563.pdf,application/pdf,True,3,0.07
data\outros\1033564.pdf,application/pdf,True,3,0.06
data\outros\1033565.pdf,application/pdf,True,3,0.06
data\outros\1033566.pdf,application/pdf,True,5,0.12
data\outros\1033567.pdf,application/pdf,True,4,0.07
