Artigo,Autores
1382,José Raphael Teixeira Marques; JanKees van der Poel; Leonardo Vidal Batista; Guilherme Costa Guedes Pereira
1383,Gustavo Henrique Matos Bezerra Motta; Hamilton Soares da Silva; Hélio de Menezes Silva; Leonardo Vidal Batista; Raimundo de Gouvêia Nóbrega Filho; Ulysses Sérgio C de Oliveira; Augusto Antonio Pinheiro Neto
1384,Solon Ferreira de Lucena Júnior; José Antônio Gomes de Lima; Leonardo Vidal Batista; Hamilton Soares da Silva; Évisson Fernandes de Lucena
1385,José Raphael Teixeira Marques; JanKees vd Poel; Leonardo Vidal Batista; Guilherme Costa; Guedes Pereira
1386,LV Batista; C Carvalho; EUK Melcher
1387,JOSÉ RAPHAEL TEIXEIRA MARQUES; LEONARDO VIDAL BATISTA
1388,Glauber M Pires; JanKees vd Poel; Leonardo V Batista; José R Marques
1389,Leonardo Vidal Batista
1390,Tatiane Cruz de Souza Honório; Francisco Dantas Nobre Neto; Thallys Pereira; Vinicius de Melo Rocha; Leonardo Vidal Batista
1391,José Raphael Teixeira Marques; JanKees vd Poel; Leonardo Vidal Batista; Guilherme Costa Guedes Pereira
1392,Liliane dos Santos Machado; Ronei Marcos de Moraes; Fatima de Lourdes dos Santos Nunes; Rosa Maria Esteves Moreira da Costa
1393,Antonio Valerio Netto; Liliane dos Santos Machado; Maria Cristina Ferreira de Oliveira
1394,Liliane S Machado; Ronei M Moraes; Fátima Nunes
1395,Ane Polline Lacerda Protasio; Luciano Bezerra Gomes; Liliane dos Santos Machado; Ana Maria Gondim Valença
1396,Ane Polline Lacerda Protasio; Polyana Barbosa da Silva; Edmilson Calixto de Lima; Luciano Bezerra Gomes; Liliane dos Santos Machado; Ana Maria Gondim Valença
1397,Fátima de Lourdes dos Santos Nunes; RMEM da Costa; Liliane dos Santos Machado; Ronei Marcos de Moraes
1398,Antonio Valerio Netto; Liliane dos Santos Machado; Maria Cristina Ferreira de Oliveira
1399,Luana Rodrigues de Almeida; Ana Tereza Medeiros Cavalcanti da Silva; Liliane dos Santos Machado
1400,Liliane dos Santos Machado; Andre Nebel de Mello; Roseli de Deus Lopes; Vicente Odone Filho; Marcelo Knorich Zuffo
1401,Liliane dos Santos Machado; Ronei Marcos de Moraes; Marcelo Knorich Zuffo
1402,Liliane dos Santos Machado
1403,Ane Polline Lacerda Protasio; Luciano Bezerra Gomes; Liliane dos Santos Machado; Ana Maria Gondim Valença
1404,Liliane S Machado; Ronei M Moraes; Daniel FL Souza; Leandro C Souza; Ícaro LL Cunha
1405,Júlia Julliêta de MEDEIROS; Larycia Vicente Rodrigues; Amanda Camurça Azevedo; Liliane dos Santos MACHADO; Ana Maria Gondim VALENÇA
1406,Luana Rodrigues de Almeida; Ana Tereza Medeiros Cavalcanti da Silva; Liliane dos Santos Machado
1407,Ane Polline Lacerda Protasio; Luciano Bezerra Gomes; Liliane dos Santos Machado; Ana Maria Gondim Valença
1408,Liliane dos Santos Machado
1409,Ronei M Moraes; Liliane S Machado
1410,Ronei M Moraes; Liliane S Machado
1411,Liliane dos Santos Machado; Ronei Marcos de Moraes
1412,Liliane dos Santos Machado; Ronei Marcos de Moraes; Fatima de Lourdes dos Santos Nunes; Rosa Maria Esteves Moreira da Costa
1413,Liliane S Machado; TK de L Costa; RM de Moraes
1414,Herbet F Rodrigues; Liliane dos S Machado; Ana Maria G Valença
1415,RM Moraes; LS Machado
1416,BRA Sales; LS Machado; RM Moraes
1417,Paulo Vinícius de Farias Paiva; Liliane S Machado; Ana Maria Gondim Valença
1418,Bruno S Monteiro¹; Milane CO Valdek; Ícaro LL Cunha¹; Ronei M Moraes; Liliane S Machado¹
1419,Paulo VF Paiva; Liliane S Machado; Ana Maria G Valença; Thiago V Batista; Ronei M Moraes
1420,Liliane dos Santos Machado; Ronei Marcos de Moraes
1421,Daniel FL Souza; ILL Cunha; Leandro C Souza; Ronei M Moraes; Liliane S Machado
1422,Alana Marques de Morais; Liliane dos Santos Machado; Ana Maria Gondim Valença
1423,L dos S Machado; SF Campos; ILL Cunha; RM Moraes
1424,RM de Moraes; LS Machado
1425,Ronei M Moraes; Liliane S Machado
1426,Herbet Ferreira Rodrigues; Liliane S Machado; Ana Maria Gondim Valença
1427,Herbet Ferreira Rodrigues; Liliane dos Santos Machado; Ana Maria Gondim Valença
1428,Ronei M Moraes; Andréa V Rocha; Liliane S Machado
1429,Liliane dos Santos Machado; Ronei Marcos de Moraes
1430,Ane Polline Lacerda Protasio; Polyana Barbosa da Silva; Edmilson Calixto de Lima; Luciano Bezerra Gomes; Liliane dos Santos Machado; Ana Maria Gondim Valença
1431,Ronei M Moraes; Liliane S Machado
1432,RM Moraes; LS Machado
1433,Paulo Vinícius de Farias Paiva; Liliane dos Santos Machado; Thiago Vinícius Vieira Batista
1434,Paulo Vinícius F Paiva; Liliane S Machado; Jauvane C de Oliveira
1435,Alana M De Morais; Azuíla da S Sousa; Liliane dos S Machado; Ronei M Moraes
1436,Ronei Marcos de Moraes; Elaine Anita de Melo Gomes Soares; Liliane dos Santos Machado
1437,Luana R Almeida; Liliane S Machado; Ana Tereza Medeiros; Hemilio FC Coelho; Josemberg M Andrade; Ronei M Moraes
1438,Ane Polline Lacerda Protasio; Luciano Bezerra Gomes; Liliane dos Santos Machado; Ana Maria Gondim Valença
1439,Thaíse Kelly de Lima Costa; Liliane dos Santos Machado; Ronei Marcos de Morais
1440,Ronei Marcos De Moraes; Liliane Dos Santos Machado
1441,LS Machado; RM DE MORAES
1442,Daniel FL Souza; Milane CO Valdek; Ronei M Moraes; Liliane S Machado
1443,Paulo VF Paiva; Liliane Dos S Machado; Ana Maria G Valença; Ronei M De Moraes; Thiago VV Batista
1444,Ronei Marcos de Moares; Liliane S Machado; Fátima de Lourdes dos Santos Nunes; Rosa Maria Esteves Moreira da Costa
1445,Liliane S Machado; Ronei M Moraes
1446,Ana Claudia Oliveira de Melo; Ronei Marcos de Moraes; Liliane dos Santos Machado
1447,Liliane dos Santos Machado; Marcelo Knõrich Zuffo
1448,Luiz Carlos Pinheiro Machado
1449,Alysson D Santos; Liliane S Machado; Ronei M Moraes; Renata GS Gomes
1450,L dos S Machado
1451,Luana Rodrigues de Almeida; Ana Tereza Medeiros Cavalcanti da Silva; Liliane dos Santos Machado
1452,Paulo Vinícius de Farias PAIVA; Liliane dos Santos MACHADO; Ana Maria Gondim Valença; Ronei Marcos de MORAES
1453,Alana M de Morais; Liliane S Machado; Ana Maria G Valença
1454,Liliane S Machado; RM Moraes; F Nunes
1455,Liliane S Machado; Thaise KL Costa; Ronei M Moraes
1456,Ronei Marcos de Moraes; Liliane dos Santos Machado
1457,Antonio Valerio Netto; Liliane MACHADO; MCF de OLIVEIRA
1458,Alana Marques Morais; Liliane dos Santos Machado; Ana Maria Gondim Valença
1459,Maria Teresa Restivo; António Mendes Lopes; Liliane dos Santos Machado; Ronei Marcos de Moraes
1460,Rosana Leal do PRADO; Ana Maria Gondim VALENÇA; Liliane dos Santos MACHADO
1461,LS Machado; Joaquim Mendes; António M Lopes; B Sales; T Pereira; D Souza; Maria Teresa Restivo; RM Moraes
1462,RONEI MARCOS DE MORAES; LILIANE DOS SANTOS MACHADO
1463,LS Machado; Alexandre Cardoso
1464,Ronei Marcos de Moraes; Liliane dos Santos Machado
1465,Liliane S Machado; Ronei M Moraes
1466,RM Moraes; LS Machado
1467,Liliane Dos Santos Machado; Milane Caroline de Oliveira Valdek; Ronei Marcos De Moraes
1468,Ronei M Moraes; Daniel FL Souza; Milane CO Valdek; Liliane S Machado
1469,Liliane Dos Santos Machado; Antonio Valério Netto; Maria Cristina F de OLIVEIRA
1470,Ronei M Moraes; Liliane S Machado
1471,Paulo Vinícius F Paiva; Liliane S Machado; Jauvane C de Oliveira
1472,LS Machado; TAB Pereira; TKL Costa; MT Restivo; RM Moraes
1473,Ronei M Moraes; Jodavid A Ferreira; Liliane S Machado
1474,Ronei Marcos de Moraes; Liliane S Machado
1475,RONEI M Moraes; LILIANE S Machado
1476,Alana M Morais; Herbet F Rodrigues; Liliane S Machado; Ana Maria G Valença
1477,Marcos A Marques; Thaíse KL Costa; Liliane S Machado; CXA Nettos
1478,LS Machado; RM Moraes
1479,Ronei Marcos de Moraes; Ingrid Luana Almeida da Silva; Liliane dos Santos Machado
1480,Fátima LS Nunes; Liliane S Machado; Ronei M Moraes
1481,JCM Netto; LS Machado; RM Moraes
1482,LS Machado; RM De Moraes
1483,RM Moraes; LS Machado
1484,RM Moraes; LS Machado
1485,L dos S MACHADO; MK Zuffo; RM Moraes; RD Lopes
1486,LS Machado; MK Zuffo; RM Moraes; RD Lopes
1487,Ronei M Moraes; Liliane S Machado
1488,Jodavid A Ferreira; EA Soares; Liliane S Machado; Ronei M Moraes
1489,Ronei M Moraes; Liliane S Machado; Henri Prade; Gilles Richard
1490,FLSM Nunes; RM Costa; Liliane S Machado; Ronei M Moraes
1491,L Falcão; S Machado; L Costa
1492,A Sousa; Liliane Machado; A Valença
1493,Alysson D Santos; Renata GS Gomes; Ronei M Moraes; Liliane S Machado
1494,RM Moraes; LS Machado; LC Souza
1495,Liliane S Machado; Daniel FL Souza; Leandro C Souza; Ronei M Moraes
1496,RONEI MARCOS DE MORAES; LILIANE DOS SANTOS MACHADO
1497,LILIANE DOS SANTOS MACHADO; MILANE CAROLINE DE OLIVEIRA VALDEK; RONEI MARCOS DE MORAES
1498,L d S Machado; RM Moraes
1499,Dandara Barbosa Palhano; Liliane dos S Machado; Anna Alice Figueiredo De Almeida
1500,Davi C Gomes; Liliane S Machado
1501,Thiago VV Batista; Liliane S Machado; Ana Maria G Valença
1502,LS Machado; AMG Valença; AM Morais
1503,RM Moraes; LS Machado
1504,Liliane S Machado
1505,Renata GS Gomes; Liliane dos S Machado; R Moraes
1506,Ives Fernando Martins Santos de Moura; Liliane dos Santos Machado; Ana Maria Gondim Valença
1507,L Hahn; LD Nunes; LF Câmara; LS Machado; D Abolis; LCC Fries; EG Martins; D Garrone-Neto
1508,Maria T Restivo; Antonio M Lopes; Liliane Machado; Ronei Moraes; Maria F Chouzal
1509,Luana Rodrigues de Almeida; Liliane S Machado; Ana Tereza Medeiros
1510,Paulo Vinícius de Farias Paiva; Liliane dos Santos Machado; Sérgio Ribeiro dos Santos; Renata Olívia Gadelha Romero
1511,Liliane S Machado; Carlos Xavier Azevedo Netto; Thaíse KL Costa; Ronei M Moraes; Pablo Rodrigues Rosa; Pablo CP Laranjeiras; Daniel PS Medeiros; Eduardo L Falcão; Andson P Belo; Herminegildo RR Netto
1512,Eduardo de Lucena Falcão; Liliane S Machado
1513,RM Moraes; LS Machado
1514,Ivam Ricardo Peleias; Amauri Jorge Macedo da Silva; Iolanda do Couto Guimarães; Lúcio de Souza Machado; João Bosco Segreti
1515,Renata Grigorio Silva Gomes; RM Moraes; LS Machado
1516,LS Machado; AN Mello; Vicente Odone Filho; Marcelo Kñorich Zuffo
1517,Liliane dos Santos Machado; M Calixto Cabral; Ricardo Bittencourt Vidigal Leitao; Roseli de Deus Lopes; Marcelo Knörich Zuffo
1518,Zildomar Carlos Felix; Liliane dos Santos Machado; Júlio Raphael O Silva; Ana Tereza Medeiros C Silva; Luana Rodrigues de Almeida
1519,Zildomar Carlos Felix; L dos S Machado; Júlio Raphael O Silva; ATMC Silva; LR De Almeida
1520,Paulo VF Paiva; Liliane dos S Machado; Jauvane C de Oliveira; Ronei M de Moraes
1521,Thaíse KL Costa; Liliane S Machado; Ana Maria G Valença; Ronei M Moraes
1522,F Nunes; LS Machado; RM Moraes
1523,Paulo VF Paiva; Liliane S Machado; Jauvane C Oliveira
1524,RM Moraes; LS Machado
1525,Aline M Morais; Liliane S Machado
1526,Daniel Faustino Lacerda de Souza; Liliane dos Santos Machado; Ronei Marcos de Moraes
1527,Daniel FL Souza; Tatiana Aires Tavares; Liliane Santos Machado; Guido Lemos Souza Filho
1528,RONEI MARCOS DE MORAES; LILIANE DOS SANTOS MACHADO
1529,Ronei M Moraes; Liliane S Machado
1530,TKL Costa; BRA Sales; RM Moraes; JAG Lima; LS Machado
1531,BRA Sales; LS Machado
1532,LDS MACHADO
1533,Alan Ferreira Alves; Cícero Francisco Bezerra Felipe; Liliane S Machado
1534,Dandara B Palhano; Liliane S Machado; Anna Alice F Almeida
1535,Thiago Vinicius Vieira Batista; Ronei Marcos Moraes; Liliane Santos Machado; Ana Maria Gondim Valença
1536,Eline Raquel De Macedo; Liliane S Machado
1537,LR Almeida; ATMC Silva; LS Machado
1538,Eduardo L Falcão; Liliane S Machado
1539,Alana M de Morais; Daniel P de S Medeiros; Liliane dos S Machado; Ronei M de Moraes; Rogéria G do Rego
1540,LS Machado
1541,LS Machado; MK Zuffo
1542,José Raul de Brito Andrade; Liliane dos Santos Machado; Leonardo Wanderley Lopes; Ronei Marcos de Moraes
1543,Monica Carvalho; Jordan Nunes de Figueiredo; Gustavo Colaço D’Albuquerque Cavalcanti; Rommel Santana Freire; Liliane Machado; Raphael Abrahão
1544,Mariana Nunes Montenegro; Pollyana Araújo da Silva; Jackeline Abílio de Souza; Ana Tereza de Medeiros; Liliane dos Santos Machado; Luana Rodrigues de Almeida
1545,EAdMG Soares; L Machado; R Moraes
1546,Anny KG Rodrigues; Thiago VV Batista; Ronei M Moraes; Liliane S Machado
1547,Douglas Dos Santos Ferreira; Liliane S Machado
1548,Douglas dos Santos Ferreira; Liliane S Machado
1549,PVF Paiva; L dos Santos Machado; SR dos Santos; ROG Romero
1550,Luana Rodrigues de Almeida; Ana Tereza Medeiros Cavalcanti da Silva; Liliane dos Santos Machado
1551,Ícaro LL Cunha; Ping Jung Xia; Liliane S Machado; Teresa Restivo; Ronei M Moraes; Antonio M Lopes
1552,R Moraes; L Machado
1553,AM Morais; LS Machado
1554,Alexandre SG Vianna; Liliane S Machado
1555,Thaís Alves Burity Pereira; LS Machado
1556,RM Moraes; LS Machado
1557,Zildomar Carlos Felix; Liliane S Machado; Rodrigo Pinheiro de Toledo Vianna
1558,Bianca Oliveira Ismael da Costa; Liliane dos Santos Machado; Milena Magalhães Augusto; Thaís Coelho Alves; Leandro Pernambuco
1559,Marieliza Araújo Braga; Liliane dos Santos Machado; Leonardo Wanderley Lopes; Clauirton de Albuquerque Siebra; Elaine Cappellazzo Souto; Rebeca Raab Bias Ramos
1560,Rebeca Raab Bias Ramos; Liliane S Machado
1561,Ronei Marcos de Moraes; Elaine Anita de Melo Gomes Soares; Liliane dos Santos Machado
1562,Paulo Vinicius De Farias Paiva; Liliane Dos Santos Machado; Ana Maria Gondim Valenca; Ronei Marcos De Moraes
1563,Ronei M Moraes; Alexandre B Simas; Liliane S Machado; Andrea V Rocha
1564,Ronei M De Moraes; Liliane S Machado
1565,Rubens GS Correia; Liliane S Machado
1566,Marcilio Olinto de Oliveira Lemos; Liliane S Machado
1567,RM Moraes; LS Machado; FLSN Marques; RMEM Costa
1568,LILIANE S MACHADO; RONEI M MORAES
1569,Júlia J Medeiros; Larycia V Rodrigues; EA Lima Neto; Ana MG Valença; Liliane S Machado
1570,Ronei M Moraes; Liliane S Machado; Leandro C Souza
1571,Liliane S Machado; Ronei M Moraes
1572,Liliane Santos Machado
1573,Daniel Pires de Sá Medeiros; Liliane dos Santos Machado; Ronei Marcos de Moraes
1574,Ronei M Moraes; Liliane S Machado
1575,D Souza; L Machado; T Tavares
1576,JCM Netto; LS Machado; RM Moraes
1577,Daniel FL Souza; Ronei M Moraes; Liliane S Machado
1578,LS Machado; RM Moraes
1579,Suene Ferreira Campos; Ronei Marcos de Moraes; Liliane dos Santos Machado
1580,José Cavalcanti de MOURA NETTO; RM Moraes; LS Machado
1581,Renata Grigório Silva Gomes; RM de Moraes; L dos S Machado
1582,Alexandre Cardoso; Liliane dos Santos MACHADO
1583,Ronei M de Moraes; Liliane S Machado; Bruno B Gnecco; Marcio C Cabral
1584,Zildomar Carlos Felix; Liliane S Machado; Rodrigo Pinheiro de Toledo Vianna; Ronei Marcos de Moraes
1585,Arthur RR Lopes; Jodavid A Ferreira; Liliane S Machado; Ronei M Moraes
1586,Derzu Omaia; Liliane Machado
1587,Liliane S Machado; Ronei M Moraes
1588,Thaíse KL Costa; Liliane S Machado; Ana Maria Gondim Valença; Marco A Winckler; Ronei M Moraes
1589,Ives Fernando Martins Santos de Moura; Ronei Marcos Moraes; Liliane Santos Machado
1590,Nayara Pereira Limão; Julio Cesar Campos Ferreira Filho; Ane Polline Lacerda Protásio; Bianca Marques Santiago; Luciano Bezerra Gomes; Liliane dos Santos Machado; Ana Maria Gondim Valença
1591,Thaíse KL Costa; Liliane S Machado; Ana Maria G Valença; Ronei M Moraes
1592,Ives Fernando Martins Santos de Moura; Liliane dos Santos Machado
1593,Ives Fernando MS de Moura; Liliane S Machado
1594,Marcilio OO Lemos; Liliane S Machado
1595,PVF Paiva; LS Machado
1596,Antonio D Carvalho Jr; Daniel FL Souza; Liliane S Machado
1597,Herbet Ferreira Rodrigues; Gedvan Pereira Dias; Renata Grigório Silva Gomes; RM Moraes; LS Machado
1598,ILL Cunha; RM Moraes; LS Machado
1599,Derzu Omaia; LS Machado; RM Moraes
1600,Bianca OI Costa; Liliane S Machado; Milena M Augusto; Desire DD Magalhaes; Thais Coelho Alves; Leandro Pernambuco
1601,Liliane Machado; Alan Alves; Cícero Felipe
1602,José Raul de Brito Andrade; Liliane dos Santos Machado; Leonardo Wanderley Lopes; Ronei Marcos de Moraes
1603,Bianca Oliveira Ismael da Costa; Liliane dos Santos Machado; Milena Magalhães Augusto; Thaís Coelho Alves; Leandro Pernambuco
1604,L Machado; R Moraes; A Valença; E Macedo; P Paiva; I Moura
1605,Dandara B Palhano; Liliane S Machado; Anna Alice F Almeida
1606,Ingrid Luana Almeida da Silva; Deynne Andrade Silva; Ronei Marcos de Moraes; Liliane S Machado
1607,Paulo Farias Paiva; Liliane Santos Machado; Tâmela Costa
1608,Thaíse Kelly de Lima Costa; Liliane S Machado; Ana Maria Gondim Valença; Ronei M Moraes
1609,Tamela Costa; Davi C Gomes; Liliane S Machado Machado; Walter F Azevedo
1610,Etienne E Kerre; Jie Lu; Ronei Marcos De Moraes; Liliane Dos Santos Machado
1611,Liliane Dos Santos Machado; Ronei Marcos de Moraes
1612,Reginaldo Tavares Virgínio Filho; Liliane Dos Santos Machado; Ronei Marcos de Moraes; Rogéria Gaudencio do Rêgo
1613,ELAINE AMG SOARES; LILIANE S MACHADO; RONEI M MORAES
1614,Ronei Marcos De Moraes; Liliane Dos Santos Machado
1615,Ronei Marcos De Moraes; Liliane Dos Santos Machado
1616,Ronei M Moraes; Liliane S Machado; Henri Prade; Gilles Richard
1617,RONEI MARCOS DE MORAES; LILIANE DOS SANTOS MACHADO
1618,Rubens GS Correia; Liliane S Machado
1619,Daniel FL Souza; Liliane S Machado; Tatiana A Tavares
1620,Aline M Morais; Liliane S Machado; Ronei M Moraes
1621,Herbet Ferreira Rodrigues; Liliane dos Santos Machado
1622,Veronica Teichrieb; Fátima de Lourdes dos Santos Nunes Marques; Liliane dos Santos Machado; Romero Tori
1623,Ives FMS Moura; Liliane S Machado
1624,Thaíse Kelly de Lima Costa; Bruno Rafael de A Sales; Ronei M Moraes; José AG Lima; Liliane S Machado
1625,Renata Grigório Silva Gomes; Ronei Marcos de Moraes; Liliane dos Santos Machado
1626,Ícaro LL Cunha; Liliane S Machado; Ronei M Moraes
1627,Suene F Campos; Leandro C Souza; Ronei M Moraes; Liliane S Machado
1628,Ronei M de Moraes; Liliane S Machado; Rodrigo K Rangel
1629,Liliane S Machado; Ronei M Moraes
1630,RM MORAES; Liliane S Machado
1631,Giancarlo S Cavalcante; Mariana da S Martins; Zildomar C Felix; Liliane S Machado
1632,José Raul B Andradé; Antonio CV Araújo; Ronei M Moraes; Liliane S Machado
1633,Ismael Mesquita de Araújo; Liliane S Machado
1634,Isaac SL Araújo; Jodavid A Ferreira; Liliane S Machado; Ronei M Moraes
1635,José Raul B Andrade; Liliane S Machado
1636,Maxsuel Alves Avelino de Paiva; Liliane dos Santos Machado; Leonardo Wanderley Lopes
1637,Maxsuel Alves Avelino de Paiva; Liliane dos Santos Machado; Leonardo Wanderley Lopes
1638,José Raul De Brito Andrade; Liliane S Machado; Ronei Marcos De Moraes
1639,José Raul B Andrade; Liliane S Machado; Ronei Marcos de Moraes
1640,Jodavid de A Ferreira; Arthur RR Lopes; Liliane S Machado; Ronei M Moraes
1641,Bianca Oliveira Ismael da Costa; Alana Moura Xavier Dantas; Liliane dos Santos Machado; Hilton Justino da Silva; Leandro Pernambuco; Leonardo Wanderley Lopes
1642,Bianca Oliveira Ismael da Costa; Alana Moura Xavier Dantas; Liliane dos Santos Machado; Hilton Justino da Silva; Leandro Pernambuco; Leonardo Wanderley Lopes
1643,Júlio Raphael de Oliveira Silva; Liliane Machado
1644,Ingrid Silva; Elaine Soares; Liliane Machado; Ronei Moraes
1645,N Donoho; L Machado; D Souza
1646,Liliane S Machado; Filipe Machado
1647,Paulo Vinícius de Farias Paiva; Liliane dos S Machado; Ronei M De Moraes; Ana Maria Gondim Valença; Jauvane C De Oliveira
1648,Marco Winckler; Thaise Costa; Liliane Machado; Ana Maria Valença; Ronei Moraes
1649,Erisvaldo G Saraiva Júnior; Liliane S Machado; Paulo R de Oliveira Rosa; Ronei M Moraes
1650,Fátima de Lourdes dos Santos Nunes Marques; Liliane S Machado; Ronei M Moraes
1651,Ronei Marcos De Moraes; Liliane Dos Santos Machado
1652,Liliane S Machado; Ronei M Moraes; Elaine AMG Soares
1653,E GOMES; E NEVES; M FURTADO; P PAIVA; J COSTA; L MACHADO; M GUEDES
1654,Liliane S Machado; Ronei M Moraes; Elaine AMG Soares
1655,Liliane S Machado; Ronei M Moraes
1656,José Taunaí Segundo; Elaine Soares; Liliane S Machado; Ronei Moraes
1657,Liliane dos Santos Machado; Ronei Marcos de Moraes
1658,Liliane S Machado; Carlos X Azevedo Netto; Thaise KL Costa; Ronei M Moraes; Pablo Rodrigues Rosa; Pablo CP Laranjeira; Daniel PS Medeiros; Eduardo L Falcao; Andson P Belo; Herminegildo RR Netto
1659,Aline M MORAIS; Liliane S MACHADO
1660,DFL Souza; LS Machado; RM Moraes
1661,RONEI M MORAES; ANDREA V ROCHA; LILIANE S MACHADO
1662,Reality-Based Training Simulators; Liliane S MACHADO; Ronei M MORAES; Daniel FL SOUZA; Leandro C SOUZA; Ícaro LL CUNHA
1663,Fátima de Lourdes dos Santos Nunes Marques; Liliane dos Santos Machado; Rosa Maria EM da Costa
1664,Fátima LS Nunes; Liliane S Machado; Rosa ME M Costa
1665,Natália Ferrari; Elisa Tomoe Moriya Schlünzen; Cícera Aparecida Lima Malheiro; Daniela Cristina Barros de Souza; Liliane Santos Machado; Paloma Alves Rodrigues
1666,Liliane Santos Machado; Daniela Cristina Barros de Souza; Elisa Tomoe Moriya Schlünzen
1667,Liliane S Machado; Ronei M Moraes
1668,Ronei M Moraes; Izabel A Souza; Liliane S Machado
1669,Thaíse KL Costa; Liliane S Machado
1670,LILIANE DOS SANTOS MACHADO
1671,Lilianedos Santos Machado
1672,Liliane S Machado; Ronei M Moraes; Zildomar C Felix
1673,Ingrid LA da Silva; Elaine AMG Soares; Liliane S Machado; Ronei M Moraes
1674,Thais Pereira¹; Bruno Sales¹; Daniel Souza¹; Liliane Machado¹; Ronei Moraes¹; Joaquim Gabriel; Maria Teresa Restivo; Antonio Lopes
1675,Liliane Machado
1676,Ronei M de Moraes; Rodrigo PT Vianna; Jordana A Nogueira; Liliane S Machado; Ana CA Sousa; Ana CO de Melo; Danielly CSC Holmes; Laisa R de Sá; Luciana MM Lima; Rackynelly AS Soares
1677,Thiago Batista; Liliane Machado; Thaíse Costa
1678,Júlio R Oliveira; Zildomar C Félix; Luana R Almeida; Ana Tereza Medeiros; Liliane S Machado
1679,Alana Da Gama; Alberto Raposo; Brazil André Spritzer; Brazil Claudio Pinhanez; Cleber Correa; Clemens Arth; Creto Vidal; Switzerland Daniela Trevisan; Diego Patricio; UFU Edgard Lamounier; Brazil Eunice Nunes; Ezequiel Roberto Zorzal; Fatima Nunes; Francisco Ortega; Gerd Bruder; Greis Silva-Calpa; Hideaki Uchiyama; Ildeberto Rodello; Jauvane Oliveira; João Marcelo Teixeira; Jose Remo Brega; Kyle Johnsen; Léo Magalhães; Liliane Machado; Lucas Silva Figueiredo; Brazil Luciano Soares
1680,Davi C Gomes; Liliane S Machado
1681,José Raul de Brito Andrade; Ronei Moraes; Angelo Sales; Liliane Machado; Rigel Souza
1682,Eduardo L Falcão; Liliane S Machado
1683,Thiago Batista; Liliane Machado; Ronei Moraes
1684,Alberto Barbosa Raposo; Creto Vidal; Jauvane Oliveira; Liliane Machado; Luciana Nedel; Luciano Soares
1685,Régis Kopper; Márcio Pinho; Alberto Raposo; Andre Hinkenjann; Benjamin Lok; Carla Freitas; Creto Vidal; Dirk Reiners; Esteban Clua; Eunice Nunes; Ezequiel Roberto Zorzal; Fatima Nunes; Felipe G de Carvalho; Fernando Osorio; Gernot Heisenberg; Ildeberto Rodello; Jauvane Oliveira; Joaquim Cavalcante-Neto; João Marcelo Teixeira; João Paulo Lima; Léo Magalhães; Liliane Machado; Luciano Soares; Marcelo Bergamaschi; Marcelo Guimarães; Marcelo Hounsell; Marco Winckler; Marcos Wagner Souza Ribeiro; Rafael Rieder; Robson Siscoutto; Romero Tori; Ronaldo Correia; Rosa Maria Costa; Selan dos Santos; Soraia Musse
1686,Thais Pereira; Bruno Sales; Daniel Souza; Liliane Machado; Joaquim Gabriel; Maria Teresa Restivo; Antonio Lopes; Ronei Moraes
1687,Fátima LS Nunes; Liliane S Machado; Ronei M Moraes
1688,Judith Kelner; Katia Vega; Léo Magalhães; Leandro Motta Barros; Leandro Oliveira; Leila Bergamasco; Leonardo Cunha de Miranda; Liliane Machado; Luana Almeida
1689,Albert Rizzo; Alberto Raposo; Alexandre Cardoso; Alexandre Silva; Ana Paula Melchiori; Anderson Maciel; Andre Hinkenjann; Anselmo Paiva; Antonio Valerio Netto; Antonio Carlos Sementille; Bianchi Meiguins; Bruno Raffin; Carla Freitas; Christian Pagot; Claudio Kirner; Claudio Pinhanez; Creto Vidal; Cristina Vasconcelos; Cristiano Maciel; Daniel Thalmann; Daniela Trevisan; David Panzoli; Dirk Reiners; Edgard Lamounier; Edilson Aguiar; Ednaldo Brigante Pizzolato; Eduardo Albuquerque; Enio Russo; Esteban Clua; Fabian Di Fiore; Fatima Nunes; Fernando Osorio; Gernot Heisenberg; Hank Kaczmarsk; Helton Biscaro; Ildeberto Rodello; Ismar Frango Silveira; Jaime Sanchez; Jauvane Oliveira; Joaquim Cavalcante-Neto; Joaquim Jorge; João Pereira; João Luiz Bernardes Júnior; Jose Remo Brega; Judith Kelner; Léo Magalhães; Leandro Fernandes; Liliane S Machado; Luciana Nedel; Luciano Soares; Marcelo Bergamaschi; Manoel Ribeiro; Manuel Loaiza; Marcelo Cohen; Marcelo Guimarães; Marcelo da Silva Hounsell; Marcio Cabral; Marcio Pinho; Marco Winckler; Maria Ferreira; Maria Andréia Rodrigues; Mario Kubo; Martin Goebel; Pablo Figueroa; Patrice Torguet; Paulo Bressan; Regina Araujo; Roberto Bianchini; Robson Siscoutto; Rodrigo Luis de Souza da Silva; Romero Tori; Ronaldo Correia; Ronei Marcos de Moraes; Rosa Maria Costa; Sabine Coquillart; Sammy Rogmans; Sérgio Pellegrino; Selan dos Santos; Silvio Melo; Soraia Musse; Valdinei Silva; Veronica Teichrieb
