id,nome_lutador,apelido,sexo,categoria,win,lose,draw,precisao_striking,sig_pe_str,sig_clinch_str,sig_solo_str,method_ko_tko,method_dec,method_fin,golpes_sig_conectados,golpes_sig_absorvidos,media_quedas,media_fin,defesa_golpes_sig,defesa_quedas,media_knockdowns,tempo_medio,sig_head_str,sig_body_str,sig_leg_str,idade_lutador,altura_lutador,peso_lutador,link_corpo,link_rosto
962,ryan hall,The Wizard,M,Peso-pena,9,2,0,0.5,0.67,0.02,0.31,0.08,0.79,0.13,2.38,1.33,0.22,2.22,0.66,0.0,0.44,676,0.68,0.56,0.37,38,70.0,145.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-07/69177%252Fprofile-galery%252Ffullbodyleft-picture%252FHALL_RYAN_L_07-10.png?itok=VOxaamYk,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-07/69177%252Fprofile-galery%252Fprofile-picture%252FHALL_RYAN_07-10.png?itok=i1NFfbCT
963,maki pitolo,Coconut Bombz,M,Peso-médio,13,9,0,0.44,0.87,0.09,0.04,0.54,0.23,0.23,4.1,3.93,2.24,0.75,0.55,0.5,0.25,517,1.67,0.63,0.17,32,70.0,184.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/05814fbf-fec6-4205-be0d-70b7cb7adb7e%252FPITOLO_MAKI_L_12-04.png?itok=1TbNo2XT,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2022-03/aa13ebd0-8849-4781-8593-fda0a8397671%252FPITOLO_MAKI_12-04.png?itok=FL380CU8
964,mallory martin,,F,Peso-palha feminino,7,5,0,0.49,0.81,0.1,0.08,0.29,0.43,0.29,4.42,6.64,2.28,0.33,0.55,0.25,0.0,553,1.73,0.28,0.03,29,64.0,115.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-02/55c7d96e-15da-4464-8880-f734acb17762%252FMARTIN_MALLORY_L_12-04.png?itok=--mJTcgY,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2022-02/e6317fa8-b757-46f7-9cb8-1dd82820efc8%252FMARTIN_MALLORY_12-04.png?itok=ECIU-g87
965,chris gruetzemacher,Gritz,M,Peso-leve,15,5,0,0.57,0.69,0.25,0.06,0.47,0.33,0.2,6.18,4.96,0.21,0.0,0.53,0.66,0.0,585,2.33,1.29,0.89,37,68.0,156.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-07/67615%252Fprofile-galery%252Ffullbodyleft-picture%252FGRUETZMACHER_CHRIS_L_07-31.png?itok=JLvRI06M,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-07/67615%252Fprofile-galery%252Fprofile-picture%252FGRUETZMACHER_CHRIS_07-31.png?itok=__B87g5P
966,sean soriano,,M,Peso-pena,14,8,0,0.62,0.71,0.16,0.13,0.5,0.21,0.29,3.18,2.14,1.33,0.0,0.56,0.53,0.0,678,1.06,0.32,0.42,33,69.0,146.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-06/SORIANO_SEAN_L_05-15.png?itok=mr93K68M,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-05/69218%252Fprofile-galery%252Fprofile-picture%252FSORIANO_SEAN_05-15.png?itok=O4tQDWDt
1711,alexis dufresne,Sneaky Zebra,F,Peso-galo feminino,5,2,0,0.28,0.78,0.05,0.18,0.6,0.0,0.4,1.33,3.33,1.5,0.0,0.61,0.5,0.0,900,0.12,0.08,0.2,0,69.0,138.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-08/Alexis-Dufresne_479266_LeftFullBodyImage.png?itok=uUPH-igl,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
967,ben rothwell,,M,Peso-pesado,39,14,0,0.43,0.76,0.15,0.1,0.72,0.1,0.18,3.71,4.63,0.68,0.41,0.47,0.7,0.61,529,5.87,1.37,0.93,41,76.0,265.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-05/67447%252Fprofile-galery%252Ffullbodyleft-picture%252FROTHWELL_BEN_L_05-08.png?itok=Ev7fAXO5,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-05/67447%252Fprofile-galery%252Fprofile-picture%252FROTHWELL_BEN_05-08.png?itok=xxC9H_kL
968,felicia spencer,FeeNom,M,Peso-pena,9,3,0,0.49,0.49,0.26,0.25,0.25,0.25,0.5,3.21,4.54,1.18,0.2,0.45,0.27,0.0,764,1.67,0.43,0.35,32,66.0,145.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-05/71456%252Fprofile-galery%252Ffullbodyleft-picture%252FSPENCER_FELICIA_L_05-22.png?itok=uL2cjQJP,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-05/71456%252Fprofile-galery%252Fprofile-picture%252FSPENCER_FELICIA_05-22.png?itok=5Bk-TjxN
969,leah letson,Nidas,M,Peso-pena,5,3,0,0.42,0.88,0.11,0.01,0.6,0.4,0.0,3.06,3.84,0.51,0.0,0.52,0.76,0.0,883,0.5,0.25,0.15,30,67.0,145.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-11/68556%252Fprofile-galery%252Ffullbodyleft-picture%252FLETSON_LEAH_L_11-13.png?itok=G6BX4uBc,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-11/68556%252Fprofile-galery%252Fprofile-picture%252FLETSON_LEAH_11-13.png?itok=Ru5-11I4
970,collin anglin,,M,Peso-pena,8,3,0,0.49,0.8,0.14,0.06,0.63,0.38,0.0,4.59,5.54,2.28,0.0,0.51,1.0,0.0,527,0.92,0.19,0.1,30,69.0,146.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-07/71642%252Fprofile-galery%252Ffullbodyleft-picture%252FANGLIN_COLLIN_L_07-31.png?itok=vHK_s5fn,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-07/71642%252Fprofile-galery%252Fprofile-picture%252FANGLIN_COLLIN_07-31.png?itok=ifraALtL
971,liana jojua,She Wolf,F,Peso-mosca feminino,8,5,0,0.3,0.91,0.04,0.06,0.13,0.13,0.75,2.42,5.32,1.71,1.28,0.54,0.5,0.0,527,0.68,0.15,0.02,28,64.0,128.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-11/71459%252Fprofile-galery%252Ffullbodyleft-picture%252FJOJUA_LIANA_L_11-13.png?itok=rLDlUzXi,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-11/71459%252Fprofile-galery%252Fprofile-picture%252FJOJUA_LIANA_11-13.png?itok=PONckWC0
972,al iaquinta,Raging,M,Peso-leve,14,7,1,0.41,0.92,0.04,0.04,0.5,0.43,0.07,4.06,4.53,0.63,0.24,0.61,0.74,0.55,762,5.21,1.45,1.08,36,70.0,155.8,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-11/67178%252Fprofile-galery%252Ffullbodyleft-picture%252FIAQUINTA_AL_L_11-06.png?itok=XltEofwp,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-11/67178%252Fprofile-galery%252Fprofile-picture%252FIAQUINTA_AL_11-06.png?itok=kxWbpTxF
973,gian villante,,M,Peso-pesado,17,14,0,0.44,0.86,0.07,0.07,0.59,0.29,0.12,4.38,5.47,0.45,0.0,0.55,0.83,0.32,652,6.65,1.41,2.23,37,75.0,260.6,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-11/68015%252Fprofile-galery%252Ffullbodyleft-picture%252FVILLANTE_GIAN_L_11-06.png?itok=6CSbZ6l6,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-11/68015%252Fprofile-galery%252Fprofile-picture%252FVILLANTE_GIAN_11-06.png?itok=fo2a1XfU
974,jordan williams,Bomaye,M,Peso Meio-Médio,9,6,0,0.5,0.73,0.06,0.21,0.78,0.11,0.11,5.83,5.46,1.11,0.0,0.36,0.85,0.28,539,2.56,0.4,0.18,32,73.0,170.6,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-07/WILLIAMS_JORDAN_L_07-24.png?itok=nRzeT6gp,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-07/71417%252Fprofile-galery%252Fprofile-picture%252FWILLIAMS_JORDAN_07-24.png?itok=BmH3O_Y-
975,john allan,,M,Peso meio-pesado,13,7,0,0.43,0.85,0.07,0.08,0.69,0.08,0.23,3.56,5.74,1.4,0.84,0.52,0.5,0.0,805,1.17,0.34,0.4,30,73.0,205.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-11/69719%252Fprofile-galery%252Ffullbodyleft-picture%252FALLAN_JOHN_L_11-06.png?itok=oCzRRuN4,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-11/69719%252Fprofile-galery%252Fprofile-picture%252FALLAN_JOHN_11-06.png?itok=H6YNJRrZ
976,shamil gamzatov,,M,Peso meio-pesado,14,1,0,0.48,0.99,0.01,0.0,0.36,0.29,0.36,5.35,3.46,0.0,0.0,0.52,0.5,0.0,556,0.26,0.36,0.37,32,74.0,206.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-10/69245%252Fprofile-galery%252Ffullbodyleft-picture%252FGAMZATOV_SHAMIL_L_10-30.png?itok=dNBt5v-i,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-10/69245%252Fprofile-galery%252Fprofile-picture%252FGAMZATOV_SHAMIL_10-30.png?itok=072-059_
977,hu yaozong,Bad Boy,M,Peso-médio,3,3,0,0.49,0.79,0.19,0.02,0.67,0.0,0.33,3.35,5.09,0.0,0.4,0.35,0.33,0.0,746,0.56,0.3,0.39,28,75.0,186.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-07/69675%252Fprofile-galery%252Ffullbodyleft-picture%252FHU_YAOZONG_L_07-10.png?itok=g_YMuLBc,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-07/69675%252Fprofile-galery%252Fprofile-picture%252FHU_YAOZONG_07-10.png?itok=zNMavy_E
978,khama worthy,The Death Star,M,Peso-leve,16,9,0,0.48,0.92,0.01,0.06,0.56,0.25,0.19,4.18,4.45,0.0,0.67,0.46,0.57,0.67,267,0.37,0.22,0.34,36,71.0,155.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-10/68507%252Fprofile-galery%252Ffullbodyleft-picture%252FWORTHY_KHAMA_L_10-23.png?itok=3cPlH-Kx,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-10/68507%252Fprofile-galery%252Fprofile-picture%252FWORTHY_KHAMA_10-23.png?itok=WxDYlq9b
979,livinha souza,The Brazilian Gangsta,F,Peso-palha feminino,14,4,0,0.45,0.69,0.18,0.13,0.14,0.29,0.57,1.75,3.6,2.54,1.38,0.57,0.4,0.0,650,0.51,0.28,0.35,35,65.0,115.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-10/68592%252Fprofile-galery%252Ffullbodyleft-picture%252FSOUZA_LIVIA_L_10-23.png?itok=RzTzt8DL,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
980,laureano staropoli,Pepi,M,Peso-médio,9,5,0,0.34,0.95,0.05,0.0,0.56,0.22,0.22,3.31,3.73,0.83,0.0,0.54,0.48,0.0,900,1.98,0.72,0.28,30,73.0,185.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-06/71434%252Fprofile-galery%252Ffullbodyleft-picture%252FSTAROPOLI_LAUREANO_L_06-05.png?itok=e92Dkm4Y,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-06/71434%252Fprofile-galery%252Fprofile-picture%252FSTAROPOLI_LAUREANO_06-05.png?itok=LheIJbPr
981,randa markos,Quiet Storm,F,Peso-palha feminino,11,12,1,0.44,0.61,0.21,0.18,0.0,0.85,0.15,2.97,3.1,1.12,0.2,0.59,0.53,0.0,757,5.13,0.76,0.85,37,64.0,115.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-04/69044%252Fprofile-galery%252Ffullbodyleft-picture%252FMARKOS_RANDA_L_05-01.png?itok=-WRtkZkg,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-04/69044%252Fprofile-galery%252Fprofile-picture%252FMARKOS_RANDA_05-01.png?itok=HyYhGam9
982,zviad lazishvili,,M,Peso-galo,13,1,0,0.39,0.95,0.05,0.0,0.0,0.31,0.69,4.2,6.13,0.0,0.0,0.51,0.0,0.0,900,0.25,0.17,0.21,31,66.0,135.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-10/71859%252Fprofile-galery%252Ffullbodyright-picture%252FLAZISHVILI_ZVIAD_R_10-23.png?itok=5gEh9bli,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-10/71859%252Fprofile-galery%252Fprofile-picture%252FLAZISHVILI_ZVIAD_10-23.png?itok=oQQQvdxy
983,andrew sanchez,El Dirte,M,Peso-médio,13,7,0,0.44,0.79,0.1,0.12,0.54,0.31,0.15,4.3,5.1,2.55,0.0,0.51,1.0,0.35,778,4.07,0.99,0.51,35,73.0,185.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-10/67330%252Fprofile-galery%252Ffullbodyleft-picture%252FSANCHEZ_ANDREW_L_10-16.png?itok=X_ozkKLL,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-10/67330%252Fprofile-galery%252Fprofile-picture%252FSANCHEZ_ANDREW_10-16.png?itok=O00rDHGZ
984,carlos felipe,Boi,M,Peso-pesado,11,2,0,0.46,0.87,0.11,0.02,0.55,0.45,0.0,4.88,5.6,0.0,0.0,0.51,0.73,0.0,900,2.32,1.1,0.24,28,72.0,259.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-06/67562%252Fprofile-galery%252Ffullbodyleft-picture%252FFELIPE_CARLOS_L_06-12.png?itok=uiQblAsp,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-06/67562%252Fprofile-galery%252Fprofile-picture%252FFELIPE_CARLOS_06-12.png?itok=bjLI9bDg
985,bethe correia,Pitbull,F,Peso-galo feminino,11,6,1,0.44,0.86,0.13,0.01,0.18,0.82,0.0,4.37,4.93,0.39,0.0,0.56,0.86,0.0,760,3.81,1.63,1.2,39,65.0,138.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-10/67465%252Fprofile-galery%252Ffullbodyleft-picture%252FCORREIA_BETHE_L_10-02.png?itok=M46o2_xS,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-10/67465%252Fprofile-galery%252Fprofile-picture%252FCORREIA_BETHE_10-02.png?itok=SdRd-aqL
986,gaetano pirrello,El Tigre,M,Peso-galo,15,7,1,0.55,0.82,0.18,0.0,0.73,0.07,0.2,0.99,2.44,0.0,0.0,0.43,0.3,0.0,332,0.04,0.02,0.05,31,67.0,134.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-10/67994%252Fprofile-galery%252Ffullbodyleft-picture%252FPIRRELLO_GAETANO_L_10-02.png?itok=rHZRrZs9,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-10/67994%252Fprofile-galery%252Fprofile-picture%252FPIRRELLO_GAETANO_10-02.png?itok=RZ-BMfNo
987,johnny eduardo,,M,Peso-galo,28,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,44,67.0,135.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-09/Johnny-Eduardo_205617_LeftFullBodyImage.png?itok=baBNGIGB,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-10/68311%252Fprofile-galery%252Fprofile-picture%252FEDUARDO_JOHNNY_10-02.png?itok=zdKdPrCF
988,nick diaz,,M,Peso-médio,26,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,41,73.0,185.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-09/68907%252Fprofile-galery%252Ffullbodyleft-picture%252FDIAZ_NICK_L_09-25.png?itok=1WO0JYTX,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-09/68907%252Fprofile-galery%252Fprofile-picture%252FDIAZ_NICK_09-25.png?itok=FZmF2HaF
989,martin sano,,M,Peso Meio-Médio,4,3,0,0.33,1.0,0.0,0.0,0.25,0.0,0.75,4.0,12.0,0.0,0.0,0.4,0.0,0.0,15,0.01,0.0,0.0,32,71.0,170.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-11/SANO_MARTIN_L_09-25.png?itok=7HE_sO_V,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-09/71832%252Fprofile-galery%252Fprofile-picture%252FSANO_MARTIN_09-25.png?itok=ehZW9GlZ
990,mike rodriguez,Slo-Mike,M,Peso meio-pesado,11,7,0,0.54,0.61,0.31,0.08,0.82,0.0,0.18,4.35,4.24,0.0,0.0,0.41,0.38,1.18,508,1.47,1.12,0.72,34,76.0,202.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-09/68843%252Fprofile-galery%252Ffullbodyleft-picture%252FRODRIGUEZ_MIKE_L_09-18.png?itok=2H073bVO,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-09/68843%252Fprofile-galery%252Fprofile-picture%252FRODRIGUEZ_MIKE_09-18.png?itok=knSau1hX
991,impa kasanganay,Tshilobo,M,Peso Meio-Médio,9,2,0,0.49,0.79,0.07,0.15,0.11,0.67,0.22,4.96,3.66,1.75,0.25,0.58,0.67,0.0,601,1.91,0.76,0.31,29,71.0,170.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-04/71561%252Fprofile-galery%252Ffullbodyleft-picture%252FKASANGANAY_IMPA_L_04-10.png?itok=RVpUj3OD,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-04/71561%252Fprofile-galery%252Fprofile-picture%252FKASANGANAY_IMPA_04-10.png?itok=91fXu9wr
992,gustavo lopez,,M,Peso-galo,12,6,1,0.4,0.78,0.1,0.12,0.5,0.08,0.42,2.48,3.87,1.74,0.7,0.57,0.32,0.0,648,0.68,0.24,0.15,33,65.0,135.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-09/71633%252Fprofile-galery%252Ffullbodyleft-picture%252FLOPEZ_GUSTAVO_L_09-18.png?itok=Qw6-XmO2,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-09/71633%252Fprofile-galery%252Fprofile-picture%252FLOPEZ_GUSTAVO_09-18.png?itok=tRM63tzZ
993,emily whitmire,Spitfire,F,Peso-mosca feminino,4,5,0,0.31,0.76,0.08,0.16,0.0,0.75,0.25,2.5,2.98,1.9,0.48,0.54,0.7,0.0,316,0.5,0.13,0.16,33,65.0,125.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/1/WHITMIRE_EMILY_L_09-18.png?itok=RE18bixX,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2024-10/1/WHITMIRE_EMILY_09-18.png?itok=qdoVwle3
994,antonio arroyo,,M,Peso-médio,9,5,0,0.66,0.8,0.01,0.2,0.44,0.11,0.44,2.82,2.02,1.14,0.23,0.5,0.42,0.23,791,0.9,0.52,0.44,33,75.0,186.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-06/71421%252Fprofile-galery%252Ffullbodyleft-picture%252FARROYO_ANTONIO_L_06-05.png?itok=y4MOnO3X,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-06/71421%252Fprofile-galery%252Fprofile-picture%252FARROYO_ANTONIO_06-05.png?itok=yaoQ8QKo
995,sarah alpar,Too Sweet,F,Peso-mosca feminino,9,6,0,0.44,0.9,0.1,0.0,0.22,0.56,0.22,2.36,6.06,1.61,0.4,0.38,0.2,0.0,745,0.44,0.21,0.23,32,64.0,126.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/71473/profile-galery/fullbodyleft-picture/ALPAR_SARAH_L_09-19.png?itok=DU--RAIP,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-09/71473%252Fprofile-galery%252Fprofile-picture%252FALPAR_SARAH_09-18.png?itok=c01URRuI
996,david zawada,Sagat,M,Peso Meio-Médio,17,7,0,0.41,0.8,0.18,0.03,0.65,0.12,0.24,3.84,4.54,0.97,1.69,0.56,0.57,0.24,743,1.36,0.77,0.25,32,72.0,170.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-02/d82c6932-1dd1-4418-afdb-5d6c1d58702c%252FZAWADA_DAVID_L_09-04.png?itok=-FxaGeoP,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-09/67774%252Fprofile-galery%252Fprofile-picture%252FZAWADA_DAVID_09-04.png?itok=HQmUT-zH
997,luigi vendramini,The Italian Stallion,M,Peso-leve,9,3,0,0.41,0.82,0.08,0.11,0.56,0.0,0.44,2.82,3.82,1.11,0.56,0.58,1.0,0.56,404,0.45,0.18,0.13,27,68.0,155.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-07/VENDRAMINI_LUIGI_L_06-12.png?itok=vNEj_HdL,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-06/71429%252Fprofile-galery%252Fprofile-picture%252FVENDRAMINI_LUIGI_06-12.png?itok=dddP7Mo9
998,darren stewart,The Dentist,M,Peso meio-pesado,12,8,0,0.46,0.57,0.3,0.14,0.58,0.33,0.08,3.05,3.29,1.75,0.12,0.49,0.68,0.23,550,2.48,0.58,0.86,32,72.0,204.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-07/STEWART_DARREN_L_06-12.png?itok=3Qf2UX6q,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-06/67757%252Fprofile-galery%252Fprofile-picture%252FSTEWART_DARREN_06-12.png?itok=LByhLD_r
999,bea malecki,,F,Peso-galo feminino,4,1,0,0.46,0.87,0.06,0.07,0.25,0.25,0.5,6.84,6.96,0.0,1.12,0.62,0.79,0.0,538,1.17,0.51,0.16,31,69.0,135.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-08/71455%252Fprofile-galery%252Ffullbodyleft-picture%252FMALECKI_BEA_L_08-21.png?itok=3erjCdcO,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-08/71455%252Fprofile-galery%252Fprofile-picture%252FMALECKI_BEA_08-21.png?itok=RLEWAneA
1000,sasha palatnikov,,M,Peso Meio-Médio,6,4,0,0.53,0.65,0.22,0.13,0.5,0.5,0.0,6.69,5.44,0.72,0.0,0.52,0.71,0.0,415,1.07,0.28,0.04,32,73.0,170.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-07/PALATNIKOV_SASHA_L_04-10.png?itok=Sy8WOAdG,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-04/71733%252Fprofile-galery%252Fprofile-picture%252FPALATNIKOV_SASHA_04-10.png?itok=WvaoPJvi
1001,domingo pilarte,Son of Fire,M,Peso-galo,8,3,0,0.48,0.84,0.14,0.02,0.25,0.25,0.5,1.31,2.96,1.2,0.8,0.4,0.55,0.0,563,0.29,0.13,0.07,33,72.0,136.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-08/69711%252Fprofile-galery%252Ffullbodyleft-picture%252FPILARTE_DOMINGO_L_08-21.png?itok=ZNh1Lx1_,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-08/69711%252Fprofile-galery%252Fprofile-picture%252FPILARTE_DOMINGO_08-21.png?itok=0Ro1dQot
1002,casey kenney,,M,Peso-galo,16,4,1,0.43,0.89,0.08,0.03,0.13,0.56,0.31,4.85,4.67,1.09,0.43,0.58,0.61,0.0,828,3.61,1.68,1.41,32,67.0,136.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-08/67567%252Fprofile-galery%252Ffullbodyleft-picture%252FKENNEY_CASEY_L_08-07.png?itok=HrCwvXVE,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-08/67567%252Fprofile-galery%252Fprofile-picture%252FKENNEY_CASEY_08-07.png?itok=qFG5iV2W
1003,drako rodriguez,,M,Peso-galo,7,3,0,0.36,0.87,0.12,0.01,0.29,0.14,0.57,3.37,4.4,2.93,0.73,0.58,0.75,0.0,409,0.53,0.03,0.13,27,68.0,136.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-08/71636%252Fprofile-galery%252Ffullbodyleft-picture%252FRODRIGUEZ_DRAKO_L_08-07.png?itok=TSY9Tbn_,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-08/71636%252Fprofile-galery%252Fprofile-picture%252FRODRIGUEZ_DRAKO_08-07.png?itok=cOfMDEw2
1004,anderson dos santos,Berinja,M,Peso-galo,21,9,0,0.26,0.86,0.08,0.06,0.24,0.19,0.57,2.7,5.37,0.98,0.65,0.5,0.67,0.0,688,0.87,0.15,0.22,37,65.0,135.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-07/DOS_SANTOS_ANDERSON_L_07-17.png?itok=-bz2vbb4,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-07/71438%252Fprofile-galery%252Fprofile-picture%252FDOS_SANTOS_ANDERSON_07-17.png?itok=hpw5dZUS
1005,jamey simmons,The Afro Samurai,M,Peso-galo,7,4,0,0.22,0.89,0.11,0.0,0.57,0.29,0.14,0.79,1.92,0.0,0.0,0.75,0.5,0.0,343,0.06,0.01,0.02,30,66.0,136.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-08/71732%252Fprofile-galery%252Ffullbodyleft-picture%252FSIMMONS_JAMEY_L_08-07.png?itok=A3M945z1,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-08/71732%252Fprofile-galery%252Fprofile-picture%252FSIMMONS_JAMEY_08-07.png?itok=CPfEpbb5
1006,ryan benoit,Baby Face,M,Peso-mosca,10,8,0,0.39,0.81,0.11,0.07,0.8,0.1,0.1,2.88,3.65,0.28,0.42,0.58,0.72,0.71,709,2.33,0.5,0.23,33,65.0,126.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-05/69168%252Fprofile-galery%252Ffullbodyleft-picture%252FBENOIT_RYAN_L_05-08.png?itok=f7pmYD7c,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-05/69168%252Fprofile-galery%252Fprofile-picture%252FBENOIT_RYAN_05-08.png?itok=41ItVyro
1007,kai kamaka,,M,Peso-pena,8,4,1,0.57,0.84,0.11,0.04,0.0,0.88,0.13,4.96,5.29,1.93,0.28,0.55,0.53,0.28,817,1.16,1.13,0.41,28,67.0,144.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-04/71694%252Fprofile-galery%252Ffullbodyleft-picture%252FKAMAKA_KAI_L_05-01.png?itok=2hb_dRLt,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-04/71694%252Fprofile-galery%252Fprofile-picture%252FKAMAKA_KAI_05-01.png?itok=9DnUoREt
1008,ian heinisch,The Hurricane,M,Peso-médio,14,5,0,0.5,0.67,0.12,0.21,0.36,0.5,0.14,3.25,2.98,1.02,0.68,0.59,0.6,0.34,660,1.66,0.5,0.7,34,71.0,185.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-07/HEINISCH_IAN_L_07-24.png?itok=EQWRQUTE,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2021-07/69734%252Fprofile-galery%252Fprofile-picture%252FHEINISCH_IAN_07-24.png?itok=TTXE7yqd
