id,nome_lutador,apelido,sexo,categoria,win,lose,draw,precisao_striking,sig_pe_str,sig_clinch_str,sig_solo_str,method_ko_tko,method_dec,method_fin,golpes_sig_conectados,golpes_sig_absorvidos,media_quedas,media_fin,defesa_golpes_sig,defesa_quedas,media_knockdowns,tempo_medio,sig_head_str,sig_body_str,sig_leg_str,idade_lutador,altura_lutador,peso_lutador,link_corpo,link_rosto
420,anthony smith,Lionheart,M,Peso meio-pesado,38,22,0,0.49,0.88,0.08,0.05,0.5,0.11,0.39,3.19,5.04,0.44,0.6,0.45,0.5,0.38,579,5.42,1.59,1.74,36,76.0,206.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-04/SMITH_ANTHONY_L_04-26.png?itok=0Wbixsqq,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/SMITH_ANTHONY_04-26.png?itok=iuONQaBQ
421,giga chikadze,Ninja,M,Peso-pena,15,5,0,0.43,0.9,0.02,0.08,0.6,0.33,0.07,3.82,3.48,0.19,0.19,0.6,0.65,0.56,804,3.65,1.52,0.98,36,72.0,147.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-04/CHIKADZE_GIGA_L_04-26.png?itok=vOubYPxP,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/CHIKADZE_GIGA_04-26.png?itok=JNV5CS_k
422,randy brown,Rudeboy,M,Peso Meio-Médio,20,6,0,0.47,0.77,0.15,0.08,0.4,0.35,0.25,4.47,3.26,0.79,0.57,0.55,0.73,0.43,629,5.95,1.85,1.57,34,75.0,171.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-04/BROWN_RANDY_L_04-26.png?itok=zoINZ4yf,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/BROWN_RANDY_04-26.png?itok=uWfqH__q
423,matt schnell,Danger,M,Peso-mosca,17,9,0,0.4,0.82,0.09,0.09,0.12,0.35,0.53,4.13,4.17,0.49,1.24,0.55,0.43,0.12,486,3.64,0.63,0.75,35,68.0,126.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-04/SCHNELL_MATT_L_04-26.png?itok=lml1Bsp6,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/SCHNELL_MATT_04-26.png?itok=XugkOTic
424,jaqueline amorim,,F,Peso-palha feminino,10,1,0,0.53,0.19,0.0,0.81,0.2,0.0,0.8,2.68,1.43,2.22,4.8,0.64,0.0,0.0,487,0.95,0.12,0.02,29,63.0,116.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-04/AMORIM_JAQUELINE_L_04-26.png?itok=3ol8agoi,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/AMORIM_JAQUELINE_04-26.png?itok=Ysoywz76
425,timmy cuamba,Twilight ,M,Peso-pena,9,3,0,0.42,0.86,0.05,0.08,0.56,0.44,0.0,3.12,4.3,1.11,0.0,0.59,0.8,0.28,809,1.07,0.4,0.21,26,69.0,146.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-04/CUAMBA_TIMOTHY_L_04-26.png?itok=VZoILL76,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
426,chelsea chandler,,F,Peso-galo feminino,6,4,0,0.45,0.6,0.21,0.18,0.33,0.5,0.17,3.55,4.44,0.87,0.0,0.4,0.29,0.0,621,1.28,0.5,0.06,34,68.5,134.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-04/CHANDLER_CHELSEA_L_04-26.png?itok=UwbsUHze,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/CHANDLER_CHELSEA_04-26.png?itok=5WI_gCB6
427,david onama,,M,Peso-pena,14,2,0,0.51,0.79,0.07,0.13,0.5,0.21,0.29,5.24,4.73,1.08,0.46,0.52,0.53,0.62,726,4.05,0.59,0.43,31,71.0,146.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/ONAMA_DAVID_L_11-16.png?itok=Iwvy8sS4,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/ONAMA_DAVID_04-26.png?itok=6ir6SKGn
428,nicolas dalby,Danish Dynamite ,M,Peso Meio-Médio,23,6,1,0.44,0.62,0.3,0.08,0.3,0.52,0.17,4.05,3.69,0.98,0.08,0.52,0.59,0.16,789,4.45,1.8,1.21,40,70.0,171.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-06/DALBY_NICOLAS_L_06-17.png?itok=f26fe4E9,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/DALBY_NICOLAS_04-26.png?itok=Qm9R9FY3
429,jimmy flick,The Brick,M,Peso-mosca,17,9,0,0.51,0.81,0.1,0.08,0.0,0.12,0.88,1.67,4.7,2.36,3.55,0.43,0.0,0.0,544,0.41,0.36,0.29,34,67.0,126.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-04/FLICK_JIMMY_L_06-15.png?itok=GxSUhU5J,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/FLICK_JIMMY_04-26.png?itok=MzaT-9_Y
430,john castaneda,Sexi Mexi,M,Peso-pena,21,8,0,0.51,0.88,0.07,0.05,0.38,0.33,0.29,4.42,4.94,1.68,0.13,0.54,0.74,0.52,772,2.91,0.81,1.4,33,66.0,146.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/CASTANEDA_JOHN_L_06-08.png?itok=IFOjgDvo,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/CASTANEDA_JOHN_04-26.png?itok=sRRQm69j
431,alatengheili,The Mongolian Knight,M,Peso-galo,17,10,2,0.33,0.96,0.01,0.04,0.29,0.53,0.18,2.82,5.12,1.74,0.0,0.57,0.75,0.12,805,2.23,0.71,0.46,33,65.0,136.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-04/ALATENGHEILI_L_05-18.png?itok=igtqFMOb,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/ALATENGHEILI_04-26.png?itok=mg-g0P2o
432,cameron saaiman,MSP,M,Peso-galo,9,3,0,0.47,0.74,0.06,0.19,0.67,0.22,0.11,5.3,4.14,0.89,0.67,0.52,0.47,0.44,579,1.96,0.65,0.97,24,68.0,135.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-07/SAAIMAN_CAMERON_L_07-08.png?itok=ZO9-fvRg,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/SAAIMAN_CAMERON_04-26.png?itok=LSge06wS
433,polyana viana,Dama de Ferro,F,Peso-palha feminino,13,8,0,0.4,0.8,0.08,0.12,0.38,0.0,0.62,2.74,2.5,0.75,1.69,0.53,0.35,0.19,435,1.1,0.66,0.42,32,65.0,115.5,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-08/VIANA_POLYANA_L_08-12.png?itok=_l_AQQW2,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/VIANA_POLYANA_04-26.png?itok=7ZxjDwdR
434,roberto romero,El Charro Negro,M,Peso-pena,8,5,1,0.49,0.89,0.1,0.01,0.38,0.38,0.25,4.56,6.44,0.0,0.0,0.44,0.71,0.63,718,0.35,0.33,0.41,25,68.0,145.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/ROMERO_ROBERTO_R_11-16.png?itok=qhvjzmIu,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/ROMERO_ROBERTO_04-26.png?itok=f-UCX5Jg
435,alexander volkanovski,The Great,M,Peso-pena,27,4,0,0.57,0.76,0.09,0.16,0.48,0.41,0.11,6.18,3.36,1.67,0.16,0.59,0.7,0.32,981,11.08,1.85,4.24,36,66.0,145.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-02/VOLKANOVSKI_ALEXANDER_L_BELT_02-17.png?itok=7ZnCxChk,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2024-02/VOLKANOVSKI_ALEXANDER_BELT_02-17.png?itok=KRqBoyMb
436,michael chandler,Iron,M,Peso-leve,23,10,0,0.5,0.66,0.05,0.29,0.48,0.22,0.3,4.04,4.52,1.96,0.56,0.43,0.62,0.42,577,3.05,0.83,0.46,39,68.0,156.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-04/CHANDLER_MICHAEL_L_04-12.png?itok=z7ny_g4e,https://ufc.com/images/styles/event_results_athlete_headshot/s3/2025-04/CHANDLER_MICHAEL_04-12.png?itok=EsFyRSd1
