Year,Track,Artist,Album,Duration (s),Genres,Track ID,Release Date,Popularity
2009,Su Veneno,Aventura,The Last,240,"bachata, bachata pop",709hAukJxapqTU9VhsiQm0,2009-06-09,70
2009,Alles neu,Peter Fox,Stadtaffe,260,german pop,5hqxBvQJ3XJDSbxT9vyyqA,2008-09-26,69
2009,Famous Last Words,My Chemical Romance,The Black Parade,299,"emo, pop punk, emo pop",2d6m2F4I7wCuAKtSsdhh83,2006-10-20,74
2009,It Wasn't Me,"Shaggy, Rik Rok",Hot Shot,227,reggae,3WkibOpDF7cQ5xntM1epyf,2000-08-08,81
2009,Crazy,Gnarls Barkley,St. Elsewhere,177,Unknown,1vxw6aYJls2oq3gW0DujAo,2006-04-24,77
2009,Le Pese a Quien Le Pese,Vicente Fernández,El Hijo Del Pueblo,191,"mariachi, ranchera, música mexicana, bolero, banda, norteño",3mf2WfT8APUuwEGBh7w1ht,1967,60
2009,Lollipop,"2NE1, BIGBANG",2NE1 1st Mini Album,188,k-pop,2eDGx6nbrznlTmf6YMjrRi,2009-07-08,51
2009,Life in Technicolor ii,Coldplay,Viva La Vida (Prospekt's March Edition),245,Unknown,7H7NI75DdeaOW7c70oYtjM,2008-11-24,52
2009,Dígale,David Bisbal,Corazon Latino,262,latin pop,5OKrgU6UuGMp4sGRxv1JH2,2002-01-01,73
2009,Mi Historia Entre Tus Dedos - Remastered 2020,Gianluca Grignani,Destino Paraiso (25th Anniversary Edition / Remastered 2020),308,"rock en español, italian singer-songwriter",3UgduSS2bCMmatRox69u3g,1995,77
2009,Love Generation - Edit,"Bob Sinclar, Gary Pine",Love Generation (Edit),204,"french house, disco house",7iee007QypdrTXbLVF5KuF,2005-06-20,74
2009,The Scientist,Coldplay,A Rush of Blood to the Head,309,Unknown,75JFxkI2RXiU7L9VXzMkle,2002-08-27,90
2009,Yellow,Coldplay,Parachutes,266,Unknown,3AJwUDP919kvQ9QcozQPxg,2000-07-10,92
2009,Waking Up In Vegas,Katy Perry,One Of The Boys,199,pop,28RZ8tNiWmTYISN51VpnNO,2008-06-17,50
2009,Violet Hill,Coldplay,Viva La Vida or Death and All His Friends,222,Unknown,1ZqHjApl3pfzwjweTfMi0g,2008-06-06,66
2009,Por Amar A Ciegas,Arcángel,El Fenomeno,234,"reggaeton, trap latino, urbano latino",2BrfJdTXohQRtWBKsBTIp0,2008-12-08,71
2009,Don't Look Back in Anger - Remastered,Oasis,(What's The Story) Morning Glory? [Remastered],289,"britpop, madchester, rock",0UvCh63URrLFcPkKt99hHd,1995-10-02,74
2009,Fluorescent Adolescent,Arctic Monkeys,Favourite Worst Nightmare,183,"indie, garage rock",2x8evxqUlF0eRabbW2JBJd,2007-04-22,79
2009,Tears in Heaven,Eric Clapton,Rush (Music from the Motion Picture Soundtrack),271,"blues, blues rock, classic rock",1kgdslQYmeTR4thk9whoRw,1992-01-10,74
2009,The Gummy Bear Song Spanish (Yo Soy Tu Gominola),Gummibär,The Gummy Bear Song Around the World,190,children's music,4W960ZptPsutzziVfweVOr,2018-11-16,57
2009,The Gummy Bear Song German (Ich Bin Dein Gummibär),Gummibär,The Gummy Bear Song Around the World,189,children's music,3AOQrCUPSsgrcNNgsXPNMi,2018-11-16,49
2009,Pa' Que La Pases Bien,Arcángel,El Fenomeno,214,"reggaeton, trap latino, urbano latino",1pLCpA1RN8avJxSD3ZCwhj,2008-12-08,80
2009,"Have You Ever Really Loved A Woman? - From ""Don Juan DeMarco"" Soundtrack",Bryan Adams,18 Til I Die,291,Unknown,32Gf5A7Hr8RdgggXG0Fdks,1996-06-04,74
2009,When I See U,Fantasia,Fantasia,217,r&b,4iuNZTcvT9diFySSzVsnVS,2006-12-09,72
2009,Por un Segundo,Aventura,The Last,255,"bachata, bachata pop",2MioxSroS0g1mi24LLfcnq,2009-06-09,79
2009,Y.M.C.A,Village People,83 Seoul International Song Festival,307,Unknown,2MtwLMtwLU17payh5C4fYG,1983-10-07,25
2009,Stranger,Hilary Duff,Dignity,250,Unknown,6MF6ZR5nTWFWii3eBlkS8b,2007-01-01,48
2009,Falling Down,Selena Gomez & The Scene,Kiss & Tell,184,Unknown,6PAL3nzEgroNOMurJAjpFX,2009-01-01,46
2009,Gee,Girls' Generation,Oh! - The Second Album,201,k-pop,0t7kjpVLgOYITrSfFCoBEA,2010-01-28,68
2009,Por Tu Maldito Amor,Vicente Fernández,Por Tu Maldito Amor,238,"mariachi, ranchera, música mexicana, bolero, banda, norteño",4pFrn7MBtpwXlsyO5CbCj2,1990-04-17,68
2009,Don't Forget,Demi Lovato,Don't Forget,223,Unknown,4He7bzKBaiu7CRz4wGkZzx,2008-01-01,56
2009,I Kissed A Girl,Katy Perry,One Of The Boys,179,pop,1pXrR5Y9OgcIV2JEAl2lCB,2008-06-17,72
2010,Hey There Delilah,Plain White T's,All That We Needed,232,Unknown,4RCWB3V8V0dignt99LZ8vH,2005-01-25,80
2010,Baby,"Justin Bieber, Ludacris",My World 2.0,214,Unknown,6epn3r7S14KUqlReYr77hA,2010-01-01,84
2010,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),"Shakira, Freshlyground",Listen Up! The Official 2010 FIFA World Cup Album,202,latin pop,6bNB5gxFX6Q87DbQWb8OWZ,2010-05-28,69
2010,Bad Romance,Lady Gaga,The Fame Monster (Deluxe Edition),294,"art pop, pop",0SiywuOBRcynK0uKGWdCnn,2009-11-05,86
2010,Love The Way You Lie,"Eminem, Rihanna",Recovery,263,"rap, hip hop",15JINEqzVMv3SvJTAXAKED,2010-06-18,86
2010,One Time,Justin Bieber,My World,215,Unknown,6eDApnV9Jdb1nYahOlbbUh,2009-01-01,76
2010,Not Afraid,Eminem,Recovery,248,"rap, hip hop",7Ie9W94M7OjPoZVV216Xus,2010-06-18,81
2010,Never Say Never,"Justin Bieber, Jaden",Never Say Never - The Remixes,227,Unknown,5GYbkDveRD2I8M5ZJ14hWn,2011-01-01,77
2010,Rude Boy,Rihanna,Rated R,222,Unknown,60jzFy6Nn4M0iD1d94oteF,2009-11-20,79
2010,Party In The U.S.A.,Miley Cyrus,The Time Of Our Lives (International Version),202,Unknown,3E7dfMvvCLUddWissuqMwr,2009-01-01,82
2010,Alejandro,Lady Gaga,The Fame Monster (Deluxe Edition),274,"art pop, pop",4lwavw59UjXUPJZtKNdFYp,2009-08-05,76
2010,Somebody To Love Remix,"Justin Bieber, USHER",Never Say Never - The Remixes,220,Unknown,7IUl5c6u18rzmyQOblj10T,2011-01-01,61
2010,Never Let You Go,Justin Bieber,My World 2.0,264,Unknown,01BlGnXpLuC0BjgUxVYZFb,2010-01-01,64
2010,One Less Lonely Girl,Justin Bieber,My World,229,Unknown,69ghzc538EQSVon2Gm3wrr,2009-01-01,73
2010,Telephone,"Lady Gaga, Beyoncé",The Fame Monster (Deluxe Edition),220,"art pop, pop",7rl7ao5pb9BhvAzPdWStxi,2009-08-05,80
2010,Airplanes (feat. Hayley Williams of Paramore),"B.o.B, Hayley Williams",B.o.B Presents: The Adventures of Bobby Ray,180,Unknown,6lV2MSQmRIkycDScNtrBXO,2010-04-27,76
2010,Naturally,Selena Gomez & The Scene,Kiss & Tell,202,Unknown,1YaVmBh7EAeR54FIjuFcb5,2009-01-01,68
2010,What's My Name?,"Rihanna, Drake",Loud (Japan Version),263,Unknown,6DkXLzBQT7cwXmTyzAB1DJ,2010-01-01,78
2010,In My Head,Jason Derulo,Jason Derulo (International),199,Unknown,6St9lR6dhV2tpCNVz7qfrS,2010-02-26,70
2010,Only Girl (In The World),Rihanna,Loud (Japan Version),235,Unknown,2ENexcMEMsYk0rVJigVD3i,2010-01-01,86
2010,I Know You Want Me (Calle Ocho),Pitbull,Pitbull Starring In Rebelution,237,Unknown,13plQdOoWSSXPRUSZc5FuM,2009-08-27,76
2010,Whatcha Say,Jason Derulo,Jason Derulo (International),221,Unknown,7xkQdy0cy5ymoWT7nedvLz,2010-02-26,74
2010,Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,220,Unknown,47Slg6LuqLaX0VodpSCvPt,2010-05-11,84
2010,You Belong With Me (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),231,Unknown,1qrpoAMXodY6895hGKoUpA,2021-04-09,82
2010,Firework,Katy Perry,Teenage Dream,227,pop,3lXbHd0EoryoQh3vpevNEP,2010-01-01,76
2010,I Like It,"Enrique Iglesias, Pitbull",Euphoria,231,"latin pop, latin",7HacCTm33hZYYN8DXpCYuG,2010,72
2010,Billionaire (feat. Bruno Mars),"Travie McCoy, Bruno Mars",Lazarus,211,Unknown,2qPUnoasNe4Ep43emVXEig,2010-06-07,76
2010,Dynamite,Taio Cruz,The Rokstarr Hits Collection,202,Unknown,2CEgGE6aESpnmtfiZwYlbV,2010-01-01,77
2010,Beautiful,Eminem,Relapse: Refill,392,"rap, hip hop",1HR2CTi0ytRJIcik1QKdOa,2009-05-15,71
2010,Can't Be Tamed,Miley Cyrus,Can't Be Tamed,168,Unknown,2r6DdaSbkbwoPzuK6NjLPn,2010-01-01,64
2010,Gettin' Over You (feat. Fergie & LMFAO),"David Guetta, Chris Willis, Fergie, LMFAO",One More Love,188,"edm, dance",0QFhSpTIEGnv7F4VxHOvKA,2011-08-05,56
2010,Nothin' on You (feat. Bruno Mars),"B.o.B, Bruno Mars",B.o.B Presents: The Adventures of Bobby Ray,268,Unknown,59dLtGBS26x7kc0rHbaPrq,2010-04-27,80
2010,I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],289,Unknown,4kLLWz7srcuLKA7Et40PQR,2009-01-01,84
2010,Down,"Jay Sean, Lil Wayne",All Or Nothing,212,Unknown,6cmm1LMvZdB5zsCwX5BjqE,2009-01-01,80
2010,Club Can't Handle Me (feat. David Guetta),"Flo Rida, David Guetta",Only One Flo (Part 1),234,Unknown,6ebkx7Q5tTxrCxKq4GYj0Y,2010-11-24,82
2010,Poker Face,Lady Gaga,The Fame,237,"art pop, pop",1QV6tiMFM6fSOKOGLMHYYg,2008-01-01,85
2010,The Climb,Miley Cyrus,The Time Of Our Lives (International Version),234,Unknown,5x5JM1BSB6vollcIzDocqT,2009-01-01,75
